"event_number","event_number_niskin","ship","cruise","date_time_utc","latitude","longitude","depth","filter_size","replicate","chl","phaeo","iode_quality_flag","fluorometer"
"MVCO_001","MVCO_001_00","","",2003-05-10 19:00:00,41.325,-70.5667,0,">0","a",0.878,0.181,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_001","MVCO_001_00","","",2003-05-10 19:00:00,41.325,-70.5667,0,">0","b",0.892,0.152,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_002","MVCO_002_00","","",2003-05-19 14:30:00,41.325,-70.5667,0,">0","a",1.223,0.276,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_002","MVCO_002_00","","",2003-05-19 14:30:00,41.325,-70.5667,0,">0","b",1.137,0.308,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_004","MVCO_004_00","","",2003-06-03 14:45:00,41.325,-70.5667,0,">0","a",1.238,0.309,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_004","MVCO_004_00","","",2003-06-03 14:45:00,41.325,-70.5667,0,">0","b",1.227,0.313,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_005","MVCO_005_00","","",2003-06-25 17:55:00,41.325,-70.5667,0,">0","b",1.687,0.351,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_005","MVCO_005_00","","",2003-06-25 17:55:00,41.325,-70.5667,0,">0","c",1.63,0.404,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_005","MVCO_005_00","","",2003-06-25 17:55:00,41.325,-70.5667,0,">0","d",1.63,0.38,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_006","MVCO_006_00","","",2003-07-07 18:10:00,41.325,-70.5667,0,">0","a",1.418,0.278,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_006","MVCO_006_00","","",2003-07-07 18:10:00,41.325,-70.5667,0,">0","b",1.478,0.238,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_006","MVCO_006_00","","",2003-07-07 18:10:00,41.325,-70.5667,0,">0","c",1.516,0.189,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_006","MVCO_006_00","","",2003-07-07 18:10:00,41.325,-70.5667,0,">0","d",1.493,0.227,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_007","MVCO_007_00","","",2003-07-09 17:30:00,41.325,-70.5667,0,">0","a",1.79,0.408,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_007","MVCO_007_00","","",2003-07-09 17:30:00,41.325,-70.5667,0,">0","b",1.77,0.498,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_008","MVCO_008_00","","",2003-07-31 18:15:00,41.325,-70.5667,0,">0","a",1.485,0.361,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_008","MVCO_008_00","","",2003-07-31 18:15:00,41.325,-70.5667,0,">0","b",1.575,0.374,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_009","MVCO_009_00","","",2003-08-13 17:30:00,41.325,-70.5667,0,">0","a",2.678,0.686,1,"Turner Designs Aquafluor Handheld Serial Number 800446"
"MVCO_009","MVCO_009_00","","",2003-08-13 17:30:00,41.325,-70.5667,0,">0","b",2.568,0.623,1,"Turner Designs Aquafluor Handheld Serial Number 800446"
"MVCO_010","MVCO_010_00","","",2003-08-15 17:00:00,41.325,-70.5667,0,">0","a",2.059,0.286,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_010","MVCO_010_00","","",2003-08-15 17:00:00,41.325,-70.5667,0,">0","b",2.202,0.395,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_011","MVCO_011_00","","",2003-08-19 19:00:00,41.325,-70.5667,0,">0","a",1.165,0.246,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_011","MVCO_011_00","","",2003-08-19 19:00:00,41.325,-70.5667,0,">0","b",1.216,0.293,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_012","MVCO_012_00","","",2003-09-20 20:00:00,41.325,-70.5667,0,">0","a",1.96,0.428,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_012","MVCO_012_00","","",2003-09-20 20:00:00,41.325,-70.5667,0,">0","b",1.871,0.277,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_013","MVCO_013_00","","",2003-09-24 22:00:00,41.325,-70.5667,0,">0","a",4.278,0.508,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_013","MVCO_013_00","","",2003-09-24 22:00:00,41.325,-70.5667,0,">0","b",3.76,0.497,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_014","MVCO_014_00","","",2003-10-01 22:00:00,41.325,-70.5667,0,">0","a",7.645,0.211,3,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_014","MVCO_014_00","","",2003-10-01 22:00:00,41.325,-70.5667,0,">0","b",5.836,0.535,3,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_015","MVCO_015_00","","",2003-10-09 13:00:00,41.325,-70.5667,0,">0","a",4.64,1.063,3,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_015","MVCO_015_00","","",2003-10-09 13:00:00,41.325,-70.5667,0,">0","b",5.027,0.683,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_015","MVCO_015_00","","",2003-10-09 13:00:00,41.325,-70.5667,0,">0","c",5.059,1.046,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_015","MVCO_015_00","","",2003-10-09 13:00:00,41.325,-70.5667,0,">0&<10","a",2.96,0.803,3,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_015","MVCO_015_00","","",2003-10-09 13:00:00,41.325,-70.5667,0,">0&<10","b",2.407,0.751,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_015","MVCO_015_00","","",2003-10-09 13:00:00,41.325,-70.5667,0,">0&<10","c",1.963,1.827,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0","a",7.919,1.461,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0","b",6.919,1.494,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0","c",7.48,0.449,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0&<10","a",1.663,0.872,3,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0&<10","b",2.521,0.852,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0&<10","c",2.797,0.895,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0&<80","a",5.215,1.736,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0&<80","b",5.589,1.04,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_016","MVCO_016_00","","",2003-11-05 19:00:00,41.325,-70.5667,0,">0&<80","c",4.956,1.575,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_01","","",2003-11-18 14:00:00,41.325,-70.5667,0,">0","a",5.176,0.952,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_01","","",2003-11-18 14:00:00,41.325,-70.5667,0,">0","b",6.321,0.495,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_01","","",2003-11-18 14:00:00,41.325,-70.5667,0,">0&<10","a",1.689,1.45,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_01","","",2003-11-18 14:00:00,41.325,-70.5667,0,">0&<10","b",2.054,0.714,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_01","","",2003-11-18 14:00:00,41.325,-70.5667,0,">0&<80","a",4.444,0.699,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_01","","",2003-11-18 14:00:00,41.325,-70.5667,0,">0&<80","b",4.822,1.13,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_03","","",2003-11-18 14:00:00,41.325,-70.5667,4,">0","a",5.384,0.963,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_03","","",2003-11-18 14:00:00,41.325,-70.5667,4,">0","b",5.127,1.144,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_03","","",2003-11-18 14:00:00,41.325,-70.5667,4,">0&<10","a",1.507,0.627,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_03","","",2003-11-18 14:00:00,41.325,-70.5667,4,">0&<10","b",1.581,0.677,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_03","","",2003-11-18 14:00:00,41.325,-70.5667,4,">0&<80","a",3.623,0.643,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_03","","",2003-11-18 14:00:00,41.325,-70.5667,4,">0&<80","b",4.412,0.837,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_04","","",2003-11-18 14:00:00,41.325,-70.5667,12,">0","a",5.218,0.95,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_04","","",2003-11-18 14:00:00,41.325,-70.5667,12,">0","b",4.546,1.081,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_04","","",2003-11-18 14:00:00,41.325,-70.5667,12,">0&<10","a",1.484,0.603,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_04","","",2003-11-18 14:00:00,41.325,-70.5667,12,">0&<10","b",1.544,0.675,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_04","","",2003-11-18 14:00:00,41.325,-70.5667,12,">0&<80","a",3.185,0.72,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_017","MVCO_017_04","","",2003-11-18 14:00:00,41.325,-70.5667,12,">0&<80","b",3.834,0.597,1,"Turner Designs Picofluorometer Handheld In Vitro Serial Number 0540"
"MVCO_018","MVCO_018_01","","",2004-02-02 17:45:00,41.325,-70.5667,0,">0","a",8.794,0.292,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_01","","",2004-02-02 17:45:00,41.325,-70.5667,0,">0","b",7.976,0.655,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_01","","",2004-02-02 17:45:00,41.325,-70.5667,0,">0&<10","a",1.849,0.518,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_01","","",2004-02-02 17:45:00,41.325,-70.5667,0,">0&<10","b",1.07,0.522,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_01","","",2004-02-02 17:45:00,41.325,-70.5667,0,">0&<80","a",5.265,1.297,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_01","","",2004-02-02 17:45:00,41.325,-70.5667,0,">0&<80","b",8.041,0.468,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_02","","",2004-02-02 17:45:00,41.325,-70.5667,4,">0","a",8.82,0.569,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_02","","",2004-02-02 17:45:00,41.325,-70.5667,4,">0","b",8.833,0.334,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_02","","",2004-02-02 17:45:00,41.325,-70.5667,4,">0&<10","a",1.346,0.582,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_02","","",2004-02-02 17:45:00,41.325,-70.5667,4,">0&<10","b",1.398,0.583,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_02","","",2004-02-02 17:45:00,41.325,-70.5667,4,">0&<80","a",6.494,1.212,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_02","","",2004-02-02 17:45:00,41.325,-70.5667,4,">0&<80","b",6.345,1.268,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_03","","",2004-02-02 17:45:00,41.325,-70.5667,12,">0","a",8.573,0.761,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_018","MVCO_018_03","","",2004-02-02 17:45:00,41.325,-70.5667,12,">0","b",8.713,0.565,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_019","MVCO_019_00","","",2004-05-06 18:50:00,41.325,-70.5667,0,">0","a",0.94,0.206,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_019","MVCO_019_00","","",2004-05-06 18:50:00,41.325,-70.5667,0,">0","b",0.965,0.2,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_019","MVCO_019_00","","",2004-05-06 18:50:00,41.325,-70.5667,0,">0&<10","a",0.803,0.184,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_019","MVCO_019_00","","",2004-05-06 18:50:00,41.325,-70.5667,0,">0&<10","b",0.842,0.202,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_019","MVCO_019_00","","",2004-05-06 18:50:00,41.325,-70.5667,0,">0&<80","a",0.901,0.197,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_019","MVCO_019_00","","",2004-05-06 18:50:00,41.325,-70.5667,0,">0&<80","b",0.988,0.215,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_01","","",2004-05-10 16:00:00,41.325,-70.5667,0,">0","a",1.081,0.306,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_01","","",2004-05-10 16:00:00,41.325,-70.5667,0,">0","b",1.053,0.319,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_01","","",2004-05-10 16:00:00,41.325,-70.5667,0,">0&<10","a",0.72,0.239,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_01","","",2004-05-10 16:00:00,41.325,-70.5667,0,">0&<10","b",0.73,0.274,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_01","","",2004-05-10 16:00:00,41.325,-70.5667,0,">0&<80","a",0.914,0.28,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_01","","",2004-05-10 16:00:00,41.325,-70.5667,0,">0&<80","b",0.927,0.281,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_02","","",2004-05-10 16:00:00,41.325,-70.5667,4,">0","a",1.235,0.306,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_02","","",2004-05-10 16:00:00,41.325,-70.5667,4,">0","b",1.197,0.336,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_02","","",2004-05-10 16:00:00,41.325,-70.5667,4,">0&<10","a",0.898,0.261,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_02","","",2004-05-10 16:00:00,41.325,-70.5667,4,">0&<10","b",0.936,0.255,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_02","","",2004-05-10 16:00:00,41.325,-70.5667,4,">0&<80","a",1.135,0.308,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_02","","",2004-05-10 16:00:00,41.325,-70.5667,4,">0&<80","b",1.262,0.06,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_03","","",2004-05-10 16:00:00,41.325,-70.5667,12,">0","a",1.371,0.357,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_020","MVCO_020_03","","",2004-05-10 16:00:00,41.325,-70.5667,12,">0","b",1.334,0.388,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_01","","",2004-06-29 16:00:00,41.325,-70.5667,0,">0","a",1.503,0.512,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_01","","",2004-06-29 16:00:00,41.325,-70.5667,0,">0","b",1.56,0.482,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_01","","",2004-06-29 16:00:00,41.325,-70.5667,0,">0&<10","a",1.204,0.409,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_01","","",2004-06-29 16:00:00,41.325,-70.5667,0,">0&<10","b",1.588,0.545,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_01","","",2004-06-29 16:00:00,41.325,-70.5667,0,">0&<80","a",1.431,0.521,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_01","","",2004-06-29 16:00:00,41.325,-70.5667,0,">0&<80","b",1.503,0.477,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_02","","",2004-06-29 16:00:00,41.325,-70.5667,4,">0","a",1.946,0.494,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_02","","",2004-06-29 16:00:00,41.325,-70.5667,4,">0","b",1.927,0.566,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_02","","",2004-06-29 16:00:00,41.325,-70.5667,4,">0&<10","a",1.6,0.509,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_02","","",2004-06-29 16:00:00,41.325,-70.5667,4,">0&<10","b",1.588,0.545,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_02","","",2004-06-29 16:00:00,41.325,-70.5667,4,">0&<80","a",1.872,0.523,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_02","","",2004-06-29 16:00:00,41.325,-70.5667,4,">0&<80","b",1.933,0.533,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_03","","",2004-06-29 16:00:00,41.325,-70.5667,12,">0","a",3.335,1.162,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_021","MVCO_021_03","","",2004-06-29 16:00:00,41.325,-70.5667,12,">0","b",3.325,1.137,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_022","MVCO_022_00","","",2004-07-07 16:00:00,41.325,-70.5667,0,">0","a",3.108,0.73,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_022","MVCO_022_00","","",2004-07-07 16:00:00,41.325,-70.5667,0,">0","b",3.143,0.749,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_022","MVCO_022_00","","",2004-07-07 16:00:00,41.325,-70.5667,0,">0&<10","a",2.751,0.654,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_022","MVCO_022_00","","",2004-07-07 16:00:00,41.325,-70.5667,0,">0&<10","b",2.378,0.692,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_022","MVCO_022_00","","",2004-07-07 16:00:00,41.325,-70.5667,0,">0&<80","a",2.994,0.894,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_022","MVCO_022_00","","",2004-07-07 16:00:00,41.325,-70.5667,0,">0&<80","b",2.958,0.718,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_023","MVCO_023_00","","",2004-07-27 12:00:00,41.325,-70.5667,0,">0","a",2.884,1.2,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_023","MVCO_023_00","","",2004-07-27 12:00:00,41.325,-70.5667,0,">0","b",2.89,1.169,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_023","MVCO_023_00","","",2004-07-27 12:00:00,41.325,-70.5667,0,">0&<10","a",2.683,1.027,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_023","MVCO_023_00","","",2004-07-27 12:00:00,41.325,-70.5667,0,">0&<10","b",2.722,1.151,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_023","MVCO_023_00","","",2004-07-27 12:00:00,41.325,-70.5667,0,">0&<80","a",2.78,1.221,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_023","MVCO_023_00","","",2004-07-27 12:00:00,41.325,-70.5667,0,">0&<80","b",2.806,1.167,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_01","","",2004-09-03 21:00:00,41.325,-70.5667,0,">0","a",NaN,NaN,4,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_01","","",2004-09-03 21:00:00,41.325,-70.5667,0,">0","b",2.602,0.696,3,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_01","","",2004-09-03 21:00:00,41.325,-70.5667,0,">0&<10","a",2.345,0.526,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_01","","",2004-09-03 21:00:00,41.325,-70.5667,0,">0&<10","b",2.41,0.47,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_01","","",2004-09-03 21:00:00,41.325,-70.5667,0,">0&<80","a",2.627,0.653,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_01","","",2004-09-03 21:00:00,41.325,-70.5667,0,">0&<80","b",2.773,0.564,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_02","","",2004-09-03 21:00:00,41.325,-70.5667,4,">0","a",3.234,0.73,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_02","","",2004-09-03 21:00:00,41.325,-70.5667,4,">0","b",3.412,0.486,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_02","","",2004-09-03 21:00:00,41.325,-70.5667,4,">0&<10","a",3.056,0.588,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_02","","",2004-09-03 21:00:00,41.325,-70.5667,4,">0&<10","b",2.916,0.636,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_02","","",2004-09-03 21:00:00,41.325,-70.5667,4,">0&<80","a",3.221,0.64,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_02","","",2004-09-03 21:00:00,41.325,-70.5667,4,">0&<80","b",3.228,0.532,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_03","","",2004-09-03 21:00:00,41.325,-70.5667,12,">0","a",5.959,1.734,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_024","MVCO_024_03","","",2004-09-03 21:00:00,41.325,-70.5667,12,">0","b",6.001,2.056,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_025","MVCO_025_00","","",2004-09-14 19:00:00,41.325,-70.5667,0,">0","a",2.696,0.75,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_025","MVCO_025_00","","",2004-09-14 19:00:00,41.325,-70.5667,0,">0","b",2.67,0.733,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_025","MVCO_025_00","","",2004-09-14 19:00:00,41.325,-70.5667,0,">0&<10","a",2.507,0.708,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_025","MVCO_025_00","","",2004-09-14 19:00:00,41.325,-70.5667,0,">0&<10","b",2.546,0.701,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_025","MVCO_025_00","","",2004-09-14 19:00:00,41.325,-70.5667,0,">0&<80","a",2.722,0.687,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_025","MVCO_025_00","","",2004-09-14 19:00:00,41.325,-70.5667,0,">0&<80","b",2.735,0.74,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_026","MVCO_026_00","","",2004-09-22 17:15:00,41.325,-70.5667,0,">0","a",3.821,0.935,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_026","MVCO_026_00","","",2004-09-22 17:15:00,41.325,-70.5667,0,">0","b",3.792,0.964,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_026","MVCO_026_00","","",2004-09-22 17:15:00,41.325,-70.5667,0,">0&<10","a",3.004,0.712,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_026","MVCO_026_00","","",2004-09-22 17:15:00,41.325,-70.5667,0,">0&<10","b",2.949,0.85,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_026","MVCO_026_00","","",2004-09-22 17:15:00,41.325,-70.5667,0,">0&<80","a",3.545,0.938,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_026","MVCO_026_00","","",2004-09-22 17:15:00,41.325,-70.5667,0,">0&<80","b",3.656,1.017,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_027","MVCO_027_01","","",2004-10-04 16:00:00,41.325,-70.5667,0,">0","a",5.531,1.316,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_027","MVCO_027_01","","",2004-10-04 16:00:00,41.325,-70.5667,0,">0","b",5.463,1.521,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_027","MVCO_027_01","","",2004-10-04 16:00:00,41.325,-70.5667,0,">0&<10","a",3.86,0.981,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_027","MVCO_027_01","","",2004-10-04 16:00:00,41.325,-70.5667,0,">0&<10","b",3.617,1.23,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_027","MVCO_027_01","","",2004-10-04 16:00:00,41.325,-70.5667,0,">0&<80","a",5.213,1.451,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_027","MVCO_027_01","","",2004-10-04 16:00:00,41.325,-70.5667,0,">0&<80","b",5.073,1.406,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
"MVCO_027","MVCO_027_02","","",2004-10-04 16:00:00,41.325,-70.5667,4,">0","a",5.923,1.903,1,"Turner Designs Aquafluor Handheld Serial Number 800017"
